"css-146c3p1","css-175oi2r href","css-9pa8cd src","css-175oi2r href 2","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1 2","css-1jxf684 4","css-1jxf684 5","css-1jxf684 6","css-175oi2r href 4","css-9pa8cd src 2","css-175oi2r href 5","css-9pa8cd src 3","css-146c3p1 href 2","css-1jxf684 7","css-1jxf684 8","css-1jxf684 9","css-1jxf684 10","css-1jxf684 11","css-1jxf684 12","css-175oi2r href 6","css-1jxf684 13","css-1jxf684 14","css-1jxf684 href","css-1jxf684 15","css-1jxf684 16","css-1jxf684 17","css-1jxf684 href 2","css-1jxf684 18","css-1jxf684 19","css-9pa8cd src 4","css-175oi2r href 7","css-9pa8cd src 5","css-175oi2r href 8","css-9pa8cd src 6","r-1p0dtai src","css-1jxf684 20","css-1jxf684 href 3"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1917215152182907078","Apr 29","Dear customers, please ensure you read all required documents to obtain your EBM receipt after purchasing electricity.
If the meter is registered in your name:","TIN Certificate","","https://x.com/reg_rwanda/status/1917215152182907078/photo/1","https://pbs.twimg.com/media/GptQyQBXUAAy6l7?format=jpg&name=small","","","https://x.com/reg_rwanda/status/1917215152182907078/media_tags","and 2 others","Rwanda Revenue Authority (RRA)","Tenancy Agreement","1","7","26","https://x.com/reg_rwanda/status/1917215152182907078/analytics","5.4K","","","Your TIN Number","reposted","Rwanda Energy Group","","Valid National ID
If the meter is under another person's name:","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1935426603435352085","22h","To enhance service delivery, earlier today, CEO","opened a one-day training for REG Directors & Managers that focused on:","Show more","https://x.com/reg_rwanda/status/1935426603435352085/photo/1","https://pbs.twimg.com/media/Gtv-2FRXgAA0m3U?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1935426603435352085/photo/2","","https://x.com/reg_rwanda/status/1935426603435352085/media_tags","and 2 others","Ministry of Infrastructure | Rwanda","Strategic use of social media in interacting with customers.

Participants were encouraged to serve","4","8","28","https://x.com/reg_rwanda/status/1935426603435352085/analytics","1.5K","","","","","","https://x.com/zimuyenzi","Citizen-centred customer care with impact.","@zimuyenzi","https://pbs.twimg.com/media/Gtv-2ENW4AAmmh_?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1935426603435352085/photo/3","https://pbs.twimg.com/media/Gtv-2JrXAAAfmHz?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1935426603435352085/photo/4","https://pbs.twimg.com/media/Gtv-2IrX0AEIMiU?format=jpg&name=360x360","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1935422573178929460","22h","Hagamijwe gukomeza kunoza serivisi nziza ku bakiriya, uyu munsi Umuyobozi Mukuru wa REG","yatangije amahugurwa y'umunsi umwe yari agenewe abayobozi bakuru muri REG.

Baganirijwe ku nsanganyamatsiko zinyuranye harimo n'iyo gutanga serivisi zisubiza ibyifuzo by'abakiriya","Show more","https://x.com/reg_rwanda/status/1935422573178929460/photo/1","https://pbs.twimg.com/media/GtwAbnBWwAAiNSm?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1935422573178929460/photo/2","","https://x.com/reg_rwanda/status/1935422573178929460/media_tags","and 2 others","Ministry of Infrastructure | Rwanda","","3","4","22","https://x.com/reg_rwanda/status/1935422573178929460/analytics","1.9K","","","","","","https://x.com/zimuyenzi","","@Zimuyenzi","https://pbs.twimg.com/media/GtwAcnVXEAExpY-?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1935422573178929460/photo/3","https://pbs.twimg.com/media/GtwAcoKXoAAjuQg?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1935422573178929460/photo/4","https://pbs.twimg.com/media/GtwAcowW8AAn93B?format=jpg&name=360x360","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1934899499454922967","Jun 17","Ntabwo ari ibintu byakwihanganirwa!

Twageze aho byabereye mu Murenge wa Bumbogo akagari ka Nyabikenye, Umudugudu wa Masizi, aho kwangiza ipironi (pylon) byashoboraga gutuma ihirima ikaba yakwangiza byinshi igateza n'impanuka.

Hari n'ahandi henshi, niyo mpamvu tubasaba gutanga","","Show more","","https://pbs.twimg.com/amplify_video_thumb/1934886940131631104/img/OciUW0R_2ntvMYvm.jpg","","","","","","","21","43","139","https://x.com/reg_rwanda/status/1934899499454922967/analytics","18K","","","","","","","","","","","","","","blob:https://x.com/abf75853-a322-416f-8971-eb9414728747","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1934599844175249615","Jun 16","Ibyaranze umunsi wo kwizihiza umurimo muri REG, tariki ya 13 Kamena 2025:","Gushimira abagiye mu kiruhuko cy'izabukuru;","Show more","","https://pbs.twimg.com/amplify_video_thumb/1934570767800238080/img/qeBHotpzw9foIh7R.jpg","https://x.com/reg_rwanda/status/1934599844175249615/photo/2","","https://x.com/reg_rwanda/status/1934599844175249615/media_tags","and 3 others","Ministry of Infrastructure | Rwanda","Kurushanwa mu mikino inyuranye no guhemba abitwaye neza;","4","9","18","https://x.com/reg_rwanda/status/1934599844175249615/analytics","2.7K","","","","","","","Gushimira abakozi b'indashyikirwa uhereye ku bakorera ku mashami ya REG kugeza ku cyicaro gikuru;","","https://pbs.twimg.com/media/GtkMj6sXIAAsnJK?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1934599844175249615/photo/3","https://pbs.twimg.com/media/GtkMdx2W8AEWyER?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1934599844175249615/photo/4","https://pbs.twimg.com/media/GtkMmXJXsAAd7j4?format=jpg&name=360x360","blob:https://x.com/b17fd559-5c0b-4a44-a32d-5865acb4b999","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1933548448516567263","Jun 13","The celebration of Labour Day at REG was marked by various games and activities, where employees enjoyed quality time and interaction with senior management.","","","","https://pbs.twimg.com/amplify_video_thumb/1933547526814064640/img/Oc8m9X9YNC784ZDP.jpg","","","","","","","1","3","11","https://x.com/reg_rwanda/status/1933548448516567263/analytics","1.5K","","","","","","","","","","","","","","blob:https://x.com/904d7691-205e-4703-90d6-e224f225ff60","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1934899499454922967","Jun 17","Ntabwo ari ibintu byakwihanganirwa!

Twageze aho byabereye mu Murenge wa Bumbogo akagari ka Nyabikenye, Umudugudu wa Masizi, aho kwangiza ipironi (pylon) byashoboraga gutuma ihirima ikaba yakwangiza byinshi igateza n'impanuka.

Hari n'ahandi henshi, niyo mpamvu tubasaba gutanga","","Show more","","","","","","2:09","","","21","43","139","https://x.com/reg_rwanda/status/1934899499454922967/analytics","18K","","","","","","","","","","","","","","blob:https://x.com/abf75853-a322-416f-8971-eb9414728747","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1933543406560505865","Jun 13","Amashusho:  Kwizihiza umunsi w'umurimo muri REG byaranzwe n'imikino inyuranye, abakozi bagiranye ubusabane n'abayobozi.","","","","https://pbs.twimg.com/ext_tw_video_thumb/1933543327774683136/pu/img/BT92GMegQ9Sj_RJn.jpg","","","","","","","2","6","","https://x.com/reg_rwanda/status/1933543406560505865/analytics","1.2K","","","","","","","","","","","","","","blob:https://x.com/aedd3780-d54a-449f-b03d-0e849a43e2ee","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1933530315093578154","Jun 13",": The staff and management of Rwanda Energy Group (REG) are celebrating Labour Day. The event was preceded by various games and sports activities aimed at promoting good health and strengthening bonds among employees.

In his opening remarks, the Chief Executive","","Show more","https://x.com/reg_rwanda/status/1933530315093578154/photo/1","https://pbs.twimg.com/media/GtVGtpiXoAARIog?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1933530315093578154/photo/2","","https://x.com/reg_rwanda/status/1933530315093578154/media_tags","and","Ministry of Infrastructure | Rwanda","Ministry of Public Service and Labour | Rwanda","1","4","23","https://x.com/reg_rwanda/status/1933530315093578154/analytics","2.4K","#HappeningNow","https://x.com/hashtag/HappeningNow?src=hashtag_click","","","","","","","https://pbs.twimg.com/media/GtVGtpfXwAAQNwW?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1933530315093578154/photo/3","https://pbs.twimg.com/media/GtVHLGhXAAA6_51?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1933530315093578154/photo/4","https://pbs.twimg.com/media/GtVHTVCW4AAUR8v?format=jpg&name=360x360","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1934899499454922967","Jun 17","Ntabwo ari ibintu byakwihanganirwa!

Twageze aho byabereye mu Murenge wa Bumbogo akagari ka Nyabikenye, Umudugudu wa Masizi, aho kwangiza ipironi (pylon) byashoboraga gutuma ihirima ikaba yakwangiza byinshi igateza n'impanuka.

Hari n'ahandi henshi, niyo mpamvu tubasaba gutanga","","Show more","","","","","","0:03 / 2:11","","","21","43","139","https://x.com/reg_rwanda/status/1934899499454922967/analytics","18K","","","","","","","","","","","","","","blob:https://x.com/abf75853-a322-416f-8971-eb9414728747","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1934599844175249615","Jun 16","Ibyaranze umunsi wo kwizihiza umurimo muri REG, tariki ya 13 Kamena 2025:","Gushimira abagiye mu kiruhuko cy'izabukuru;","Show more","","","https://x.com/reg_rwanda/status/1934599844175249615/photo/2","","https://x.com/reg_rwanda/status/1934599844175249615/media_tags","and 3 others","Ministry of Infrastructure | Rwanda","Kurushanwa mu mikino inyuranye no guhemba abitwaye neza;","4","9","18","https://x.com/reg_rwanda/status/1934599844175249615/analytics","2.7K","1:31","","","","","","Gushimira abakozi b'indashyikirwa uhereye ku bakorera ku mashami ya REG kugeza ku cyicaro gikuru;","","https://pbs.twimg.com/media/GtkMj6sXIAAsnJK?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1934599844175249615/photo/3","https://pbs.twimg.com/media/GtkMdx2W8AEWyER?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1934599844175249615/photo/4","https://pbs.twimg.com/media/GtkMmXJXsAAd7j4?format=jpg&name=360x360","blob:https://x.com/b17fd559-5c0b-4a44-a32d-5865acb4b999","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1933526332169990301","Jun 13","Aka kanya: Abakozi n'abayobozi ba Sosiyete y'u Rwanda Ishinzwe Ingufu REG barimo kwizihiza umunsi w'umurimo, akaba ari igikorwa cyabanjirijwe n'imikino inyuranye kugira ngo abakozi barusheho kugira ubuzima bwiza no gusabana.

Umuyobozi mukuru wa","","Show more","https://x.com/reg_rwanda/status/1933526332169990301/photo/1","https://pbs.twimg.com/media/GtVCRi9XoAAKjT-?format=jpg&name=small","https://x.com/reg_rwanda/status/1933526332169990301/photo/2","","https://x.com/reg_rwanda/status/1933526332169990301/media_tags","and","Ministry of Public Service and Labour | Rwanda","Ministry of Infrastructure | Rwanda","2","8","27","https://x.com/reg_rwanda/status/1933526332169990301/analytics","3.5K","","","","","","https://x.com/reg_rwanda","ubwo","@reg_rwanda","https://pbs.twimg.com/media/GtVCVxaWgAAQlu8?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1933526332169990301/photo/3","https://pbs.twimg.com/media/GtVCaOCWIAAHw6G?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1933526332169990301/photo/4","https://pbs.twimg.com/media/GtVCgknXYAAmURv?format=jpg&name=360x360","","@zimuyenzi","https://x.com/zimuyenzi"
"","https://x.com/btntvrwanda","https://pbs.twimg.com/profile_images/1912794496540045312/pH1pIXvm_bigger.jpg","https://x.com/btntvrwanda","BTN TV RWANDA","@btntvrwanda","·","https://x.com/btntvrwanda/status/1933411972336271363","Jun 13","Wari uzi ko ushobora kumenya imibare ya cashpower yawe?","Wari uzi ko ushobora kureba  umuriro usigaranye muri cash Power?","","https://x.com/btntvrwanda/status/1933411972336271363/photo/1","https://pbs.twimg.com/media/GtTb75cXUAA2DCj?format=jpg&name=small","https://x.com/btntvrwanda/status/1933411972336271363/photo/2","https://pbs.twimg.com/media/GtTb75bWQAA4A_B?format=jpg&name=small","https://x.com/btntvrwanda/status/1933411972336271363/media_tags","and 5 others","𝐄𝐚𝐬𝐭𝐞𝐫𝐧 𝐏𝐫𝐨𝐯𝐢𝐧𝐜𝐞 | 𝐑𝐰𝐚𝐧𝐝𝐚","itumeneye ibanga :","1","4","13","https://x.com/btntvrwanda/status/1933411972336271363/analytics","1.6K","","","","reposted","Rwanda Energy Group","https://x.com/reg_rwanda","Wari uzi ko ushobora Gucecekesha Cash Power yawe  mu gihe isakuza.","@reg_rwanda","","","","","","","@mikekarangwa","https://x.com/mikekarangwa"
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1934599844175249615","Jun 16","Ibyaranze umunsi wo kwizihiza umurimo muri REG, tariki ya 13 Kamena 2025:","Gushimira abagiye mu kiruhuko cy'izabukuru;","Show more","","","https://x.com/reg_rwanda/status/1934599844175249615/photo/2","","https://x.com/reg_rwanda/status/1934599844175249615/media_tags","and 3 others","Ministry of Infrastructure | Rwanda","Kurushanwa mu mikino inyuranye no guhemba abitwaye neza;","4","9","18","https://x.com/reg_rwanda/status/1934599844175249615/analytics","2.7K","1:30","","","","","","Gushimira abakozi b'indashyikirwa uhereye ku bakorera ku mashami ya REG kugeza ku cyicaro gikuru;","","https://pbs.twimg.com/media/GtkMj6sXIAAsnJK?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1934599844175249615/photo/3","https://pbs.twimg.com/media/GtkMdx2W8AEWyER?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1934599844175249615/photo/4","https://pbs.twimg.com/media/GtkMmXJXsAAd7j4?format=jpg&name=360x360","blob:https://x.com/b17fd559-5c0b-4a44-a32d-5865acb4b999","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1933543406560505865","Jun 13","Amashusho:  Kwizihiza umunsi w'umurimo muri REG byaranzwe n'imikino inyuranye, abakozi bagiranye ubusabane n'abayobozi.","","","","","","","","0:54","","","2","6","","https://x.com/reg_rwanda/status/1933543406560505865/analytics","1.2K","","","","","","","","","","","","","","blob:https://x.com/aedd3780-d54a-449f-b03d-0e849a43e2ee","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1933271991915585586","Jun 12",",

Mu bice bya Kinyinya, Gacuriro na Kagugu. Mutwihanganire mu gihe turimo gukora ibishoboka ngo umuriro ugaruke vuba. Murakoze.","","","","","","","","","","","4","5","","https://x.com/reg_rwanda/status/1933271991915585586/analytics","2.9K","#UmuriroWabuze","https://x.com/hashtag/UmuriroWabuze?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1933271691460743265","Jun 12","!

Some customers in Kinyinya, Gacuriro and Kagugu are affected. Intervention has started. Please bear with us. Thank you.","","","","","","","","","","","6","4","","https://x.com/reg_rwanda/status/1933271691460743265/analytics","2.7K","#OutageAlert","https://x.com/hashtag/OutageAlert?src=hashtag_click","","","","","","","","","","","","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1932373424564752479","Jun 10","A Dedicated Transformer is Driving Innovation and Performance at Mubuga Technical Secondary School in","Read more:","ews-details/news/a-dedicated-transformer-is-driving-innovation-and-performance-at-mubuga-tss/","https://x.com/reg_rwanda/status/1932373424564752479/photo/1","https://pbs.twimg.com/media/GtEqlVhWkAA3mQg?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1932373424564752479/photo/2","","https://x.com/reg_rwanda/status/1932373424564752479/media_tags","and","Karongi District","Western Province I Rwanda","2","4","16","https://x.com/reg_rwanda/status/1932373424564752479/analytics","2.6K","reg.rw/media-center/n","https://t.co/nbgkJ3JFC0","…","https://","","https://x.com/KarongiDistr","","@KarongiDistr","https://pbs.twimg.com/media/GtEqnksXcAAfugy?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1932373424564752479/photo/3","https://pbs.twimg.com/media/GtEqrLiWEAENorR?format=jpg&name=360x360","https://x.com/reg_rwanda/status/1932373424564752479/photo/4","https://pbs.twimg.com/media/GtEqrLgXUAAUrxz?format=jpg&name=360x360","","",""
"","https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1933543406560505865","Jun 13","Amashusho:  Kwizihiza umunsi w'umurimo muri REG byaranzwe n'imikino inyuranye, abakozi bagiranye ubusabane n'abayobozi.","","","","","","","","0:03 / 0:56","","","2","6","","https://x.com/reg_rwanda/status/1933543406560505865/analytics","1.2K","","","","","","","","","","","","","","blob:https://x.com/aedd3780-d54a-449f-b03d-0e849a43e2ee","",""
"","https://x.com/RwandaInfra","https://pbs.twimg.com/profile_images/1247413088875356164/CWheZj8D_bigger.jpg","https://x.com/RwandaInfra","Ministry of Infrastructure | Rwanda","@RwandaInfra","·","https://x.com/RwandaInfra/status/1932075322285191373","Jun 9","Minister",", together with the U.S. Deputy Chief of Mission to Rwanda, H.E John Armiger, H.E. Alison Thorpe of","","https://x.com/RwandaInfra/status/1932075322285191373/photo/1","https://pbs.twimg.com/media/GtAX5P1XUAAs5Co?format=jpg&name=360x360","https://x.com/RwandaInfra/status/1932075322285191373/photo/2","","https://x.com/RwandaInfra/status/1932075322285191373/media_tags","and 2 others","Western Province I Rwanda",", the EU Ambassador to Rwanda, and other partners visited the site of the 206 MW Ruzizi III Regional Hydropower Project. 1/3","3","28","89","https://x.com/RwandaInfra/status/1932075322285191373/analytics","8.5K","","","","reposted","Rwanda Energy Group","https://x.com/Dr_JimmyGasore",", H.E.","@Dr_JimmyGasore","https://pbs.twimg.com/media/GtAYF4KXMAAPASm?format=jpg&name=360x360","https://x.com/RwandaInfra/status/1932075322285191373/photo/3","https://pbs.twimg.com/media/GtAYQOXW8AABo3t?format=jpg&name=360x360","https://x.com/RwandaInfra/status/1932075322285191373/photo/4","https://pbs.twimg.com/media/GtAaPdYWYAAzneX?format=jpg&name=360x360","","@UKinRwanda","https://x.com/UKinRwanda"
