"css-175oi2r href","css-9pa8cd src","css-175oi2r href 2","css-1jxf684","css-1jxf684 2","css-1jxf684 3","css-146c3p1 href","css-146c3p1","css-1jxf684 4","css-1jxf684 href","css-1jxf684 5","css-1jxf684 6","css-175oi2r href 4","css-1jxf684 7"
"https://x.com/UwitonzeAlphon2","https://pbs.twimg.com/profile_images/1619225444611489792/92dy_YOO_bigger.jpg","https://x.com/UwitonzeAlphon2","Uwitonze Alphonse","@UwitonzeAlphon2","·","https://x.com/UwitonzeAlphon2/status/1944311275590144470","5h","@reg_rwanda","https://x.com/reg_rwanda","ikindi service zumuriro rwose nizibi, babikora wagirango barahimana sinzi ukuntu muzabigenza, ese ntibahembwa, kuko uramutse umusabye service kandi mwamwohereje ntago yabura ayo agukuramo, nkiyi cashpower abayishyizeho byageze naho wanga kutwitaba","1","https://x.com/UwitonzeAlphon2/status/1944311275590144470/analytics","18"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944317779882000770","5h","Tubiseguyeho niba ariko byagenze, mwaduha nimero yanyu nk'uko twabibasabye tukabikurikirana. Murakoze","","8","","https://x.com/reg_rwanda/status/1944317779882000770/analytics",""
"https://x.com/UwitonzeAlphon2","https://pbs.twimg.com/profile_images/1619225444611489792/92dy_YOO_bigger.jpg","https://x.com/UwitonzeAlphon2","Uwitonze Alphonse","@UwitonzeAlphon2","·","https://x.com/UwitonzeAlphon2/status/1944309880703070628","5h","@reg_rwanda","https://x.com/reg_rwanda","nabagejejeho ikibazo cya cashpower mwaduhinduriye ariko umuriro tuguze ugahita ushira nta numunsi ushije, mwansabye gukupa circuit breaker ijyana munzu nkategereza amasaha 2,narabikoze nsanga umuriro nubundi uri gushira ikibazo rero nicyanyu","1","https://x.com/UwitonzeAlphon2/status/1944309880703070628/analytics","22"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944317458925473998","5h","Mwaramutse neza","https://x.com/UwitonzeAlphon2","9","","https://x.com/reg_rwanda/status/1944317458925473998/analytics","@UwitonzeAlphon2"
"https://x.com/promoter818339","https://pbs.twimg.com/profile_images/1739301240201195520/2m8-MjTD_bigger.jpg","https://x.com/promoter818339","promoter","@promoter818339","·","https://x.com/promoter818339/status/1944070773888733658","21h","@reg_rwanda","https://x.com/reg_rwanda","mft ikibazi cyuko nashyizemo token umuriri ukanga kujyamo nagura undi wo ukemmerq","1","https://x.com/promoter818339/status/1944070773888733658/analytics","25"
"https://x.com/i/status/1944070773888733658","","","Show more replies","","","","","","","","","",""
"https://x.com/promoter818339","https://pbs.twimg.com/profile_images/1739301240201195520/2m8-MjTD_bigger.jpg","https://x.com/promoter818339","promoter","@promoter818339","·","https://x.com/promoter818339/status/1944126889045766300","17h","","","11/07/2025: [3551-3565-3752-1421-3555] Konteri 54170011461, ABDALLAH ENEYA,","1","https://x.com/promoter818339/status/1944126889045766300/analytics","36"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944129727285088670","17h","Mushyiremo iyi mibare 3551 3565 3752 1421 3555. Murakoze.","","15","","https://x.com/reg_rwanda/status/1944129727285088670/analytics",""
"https://x.com/brianngabonziz1","https://pbs.twimg.com/profile_images/1447657077590171651/HLWN6WID_bigger.jpg","https://x.com/brianngabonziz1","Brian Ngabo","@brianngabonziz1","·","https://x.com/brianngabonziz1/status/1944097410277413037","19h","@reg_rwanda","https://x.com/reg_rwanda","What happened in Kicukiro, Nyarugunga Sector? It’s been 1 hour without electricity. Kindly assist.","1","https://x.com/brianngabonziz1/status/1944097410277413037/analytics","29"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944098376674378107","19h","Hello, kindly contact 0788330013 or share with us your phone number in DM for assistance. Thank you.","","24","1","https://x.com/reg_rwanda/status/1944098376674378107/analytics",""
"https://x.com/promoter818339","https://pbs.twimg.com/profile_images/1739301240201195520/2m8-MjTD_bigger.jpg","https://x.com/promoter818339","promoter","@promoter818339","·","https://x.com/promoter818339/status/1944075071955644509","21h","","","54170011461","1","https://x.com/promoter818339/status/1944075071955644509/analytics","25"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944077674626126007","20h","Muduhe n'imibare y'umuriro wanze kujyamo","","17","1","https://x.com/reg_rwanda/status/1944077674626126007/analytics",""
"https://x.com/nacypie","https://pbs.twimg.com/profile_images/1312849565280874496/P1Dt9jN-_bigger.jpg","https://x.com/nacypie","nacypie","@nacypie","·","https://x.com/nacypie/status/1944073384096137452","21h","@reg_rwanda","https://x.com/reg_rwanda",", umuriro ko wabaye muke,mwadufasha, Bugesera district, Ruhuha center","1","https://x.com/nacypie/status/1944073384096137452/analytics","18"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944077005701386664","21h","Mwiriwe, muvugishe 0788330017 cyangwa muduhe nomero yanyu ya telefone tubafashe. Murakoze.","","15","","https://x.com/reg_rwanda/status/1944077005701386664/analytics",""
"https://x.com/NdizihiweGeorge","https://pbs.twimg.com/profile_images/1620360253232582656/ExWNEBaJ_bigger.jpg","https://x.com/NdizihiweGeorge","@Isiraguma","@NdizihiweGeorge","·","https://x.com/NdizihiweGeorge/status/1944073548516954551","21h","@reg_rwanda","https://x.com/reg_rwanda","Muraho neza?amashanyarazi akomeje kuba ikibazo mu karere ka Rubavu umuernge wa Nyundo akagari ka Terimbere umudugudu wa Keya duheruka badushyiriraho Transformer ariko twategereje umuriro turaheba ,amezi abaye icumi.
Rwose muturwaneho","1","https://x.com/NdizihiweGeorge/status/1944073548516954551/analytics","26"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944076917746946411","21h","Mwiriwe, muvugishe 0784929059 arabafasha. Murakoze.","","11","","https://x.com/reg_rwanda/status/1944076917746946411/analytics",""
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943611852753137776","Jul 11","#Umurirowabuze","","In Kigali Sector, Kiyovu Cell, Nyarugenge Sector, Biryogo Cell, and Gitega Sector, there is a technical issue. We are doing everything possible to restore power as soon as possible. We kindly ask for your patience. Thank you.","4","https://x.com/reg_rwanda/status/1943611852753137776/analytics","2.5K"
"https://x.com/ruemmanuel","https://pbs.twimg.com/profile_images/1623685572265971715/iU8GrFs__bigger.jpg","https://x.com/ruemmanuel","Emmanuel Ruvurajabo","@ruemmanuel","·","https://x.com/ruemmanuel/status/1944040595149688886","23h","@reg_rwanda","https://x.com/reg_rwanda","Kanombe-Rubirizi there is no power for several hours. Please assist.","1","https://x.com/ruemmanuel/status/1944040595149688886/analytics","34"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944043345749147754","23h","Hello Emmanuel,

Please reach us on: 0787455215 for assistance.
Thank you.","","17","","https://x.com/reg_rwanda/status/1944043345749147754/analytics",""
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943611359670702570","Jul 11","","","Mu Murenge wa Kigali, Akagari ka Kiyovu, no mu Murenge wa Nyarugenge, Akagari ka Biryogo, ndetse no mu Murenge wa Gitega, hari ikibazo cya tekinike. Turimo gukora ibishoboka byose kugira ngo umuriro ugaruke vuba. Mutwihanganire. Murakoze.","6","https://x.com/reg_rwanda/status/1943611359670702570/analytics","4.5K"
"https://x.com/i/status/1943611359670702570","","","Show more replies","","","","","","","","","",""
"https://x.com/de_ndoli","https://pbs.twimg.com/profile_images/1926851141595267072/Ab29YYu5_bigger.jpg","https://x.com/de_ndoli","Ndoli #TeamPK","@de_ndoli","·","https://x.com/de_ndoli/status/1944029941676618081","Jul 12","","","Mwakoze kudufasha","2","https://x.com/de_ndoli/status/1944029941676618081/analytics","29"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944035927971835983","23h","Murakoze gushima no kutumenyesha. Murakoze.","","17","1","https://x.com/reg_rwanda/status/1944035927971835983/analytics",""
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943597828992876643","Jul 11","","","Muraho neza !

Sosiyete y’u Rwanda Ishinzwe Ingufu REG, iributsa abantu bose ko yahagurukiye abantu bayiyitirira bagasaba ruswa, abakozi basaba umukiriya kubishyura n'abakiriya bashaka kwihembera uwabahaye serivisi ko ibyo ari ibintu bihanwa n'amategeko! 

REG iragusaba gutanga","40","https://x.com/reg_rwanda/status/1943597828992876643/analytics","8.7K"
"https://x.com/TUYISENGEGad4","https://pbs.twimg.com/profile_images/1594177060875943936/aTzAiN_p_bigger.jpg","https://x.com/TUYISENGEGad4","Gaddy","@TUYISENGEGad4","·","https://x.com/TUYISENGEGad4/status/1944006318240805072","Jul 12","","","Umuntu arabahamagara mukamwihorera, nkatwe umuriro nimuke cyane kuburyo ntana kettle wakoresha","1","https://x.com/TUYISENGEGad4/status/1944006318240805072/analytics","36"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944035544188825903","23h","Mwiriwe,

Muherereye he ngo tubahuze n'ishami ryacu ribafashe? Murakoze.","","24","","https://x.com/reg_rwanda/status/1944035544188825903/analytics",""
"https://x.com/UgeziwePaul","https://pbs.twimg.com/profile_images/1795709292865019904/aeY7RAKX_bigger.jpg","https://x.com/UgeziwePaul","Ugeziwe Paul","@UgeziwePaul","·","https://x.com/UgeziwePaul/status/1943994078523281628","Jul 12","","","Nyamara hari amafaranga ya moto twakwa ibihumbi icumi bya moto kumuntu uzanye Umukozi wamashayarazi wabyaga nihagire icyo ubona rero ubusambo buri mubakozi banyu badutegere kunda gusa mudufashe hano imusanze ibyo bintu birakorwa nakibazo baba baft","1","https://x.com/UgeziwePaul/status/1943994078523281628/analytics","52"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1944003671773130885","Jul 12","Mwiriwe,

Mwanyura mu gikari mukaduha nomero y'uwo wabatse amafranga tukabikurikirana.
Murakoze.","","47","","https://x.com/reg_rwanda/status/1944003671773130885/analytics",""
"https://x.com/SimpliceGa24612","https://pbs.twimg.com/profile_images/1840011200576532480/T8e0biKV_bigger.jpg","https://x.com/SimpliceGa24612","SIMPLICE GAHUNGU","@SimpliceGa24612","·","https://x.com/SimpliceGa24612/status/1943983382016254339","Jul 12","@reg_rwanda","https://x.com/reg_rwanda","","1","https://x.com/SimpliceGa24612/status/1943983382016254339/analytics","9"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943991288648327594","Jul 12","Mwiriwe,

Muduhamagare kuri iyo nomero tubafashe: 0788528456.
Murakoze.","","13","","https://x.com/reg_rwanda/status/1943991288648327594/analytics",""
"https://x.com/mwisoph2","https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png","https://x.com/mwisoph2","our country= our blood","@mwisoph2","·","https://x.com/mwisoph2/status/1941204051951313146","Jul 4","@reg_rwanda","https://x.com/reg_rwanda","Dear,","4","https://x.com/mwisoph2/status/1941204051951313146/analytics","2.4K"
"https://x.com/Fasterp44","https://pbs.twimg.com/profile_images/1234263418766594049/rqAsr5rL_bigger.jpg","https://x.com/Fasterp44","Faster P Vlogs 𝐗","@Fasterp44","·","https://x.com/Fasterp44/status/1943969971710673128","Jul 12","","","Ntago nasubijwe Nange impamvu bampera kuri 250","1","https://x.com/Fasterp44/status/1943969971710673128/analytics","10"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943991133492670807","Jul 12","Mwiriwe,

Cashpower yawe nta kibazo ifite. Urakoze.","","7","","https://x.com/reg_rwanda/status/1943991133492670807/analytics",""
"https://x.com/AkimanaNic38642","https://pbs.twimg.com/profile_images/1821808961961566208/cqhyfMKl_bigger.jpg","https://x.com/AkimanaNic38642","Ange nicole Akimana","@AkimanaNic38642","·","https://x.com/AkimanaNic38642/status/1943897486466105514","Jul 12","","","Mwadufasha ko twabuze umuriro since night","1","https://x.com/AkimanaNic38642/status/1943897486466105514/analytics","8"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943899266063196399","Jul 12","Muvugishe 0788330014 cyangwa muduhe nomero yanyu ya telefone muri DM tubafashe. Murakoze.","","14","1","https://x.com/reg_rwanda/status/1943899266063196399/analytics",""
"https://x.com/AkimanaNic38642","https://pbs.twimg.com/profile_images/1821808961961566208/cqhyfMKl_bigger.jpg","https://x.com/AkimanaNic38642","Ange nicole Akimana","@AkimanaNic38642","·","https://x.com/AkimanaNic38642/status/1943792889001083341","Jul 12","","","Umuriro wabuze hano nyacyonga","2","https://x.com/AkimanaNic38642/status/1943792889001083341/analytics","16"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943879566482657691","Jul 12","Muvugishe 0788330014 tubafashe. Murakoze.","","16","3","https://x.com/reg_rwanda/status/1943879566482657691/analytics",""
"https://x.com/ANGELLA250","https://pbs.twimg.com/profile_images/1565807859572547589/4IA_lSH2_bigger.jpg","https://x.com/ANGELLA250","Nkurikiyimfura Olivier","@ANGELLA250","·","https://x.com/ANGELLA250/status/1943793605694378378","Jul 12","@reg_rwanda","https://x.com/reg_rwanda",",muri Nyakabanda","1","https://x.com/ANGELLA250/status/1943793605694378378/analytics","9"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943864477125902834","Jul 12","Muvugishe 0788330015 tubafashe. Murakoze.","","8","","https://x.com/reg_rwanda/status/1943864477125902834/analytics",""
"https://x.com/TwagirayezuLan8","https://pbs.twimg.com/profile_images/1923400752543760384/-24QdzYT_bigger.jpg","https://x.com/TwagirayezuLan8","Adore angelo","@TwagirayezuLan8","·","https://x.com/TwagirayezuLan8/status/1943751818779275454","Jul 11","@reg_rwanda","https://x.com/reg_rwanda","Dear","1","https://x.com/TwagirayezuLan8/status/1943751818779275454/analytics","626"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943755157097132232","Jul 11","Mwiriwe neza,
Reka tubikurikirane. Murakoze","","573","","https://x.com/reg_rwanda/status/1943755157097132232/analytics",""
"https://x.com/Bonna2017","https://pbs.twimg.com/profile_images/1601899732485521411/cMk-Hftu_bigger.jpg","https://x.com/Bonna2017","Bonaventure","@Bonna2017","·","https://x.com/Bonna2017/status/1943753639996403823","Jul 11","@reg_rwanda","https://x.com/reg_rwanda","mfite ikibazo cyumuriro maze  3days nsaba support branch ya Remera nanubu ntayo ndabona nugucana bougie kandi mfite installation .phase yanjye yavuyeho ariko nabuze support. Bumbogo ,Musave ,Rugando .","1","https://x.com/Bonna2017/status/1943753639996403823/analytics","17"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943754517226659936","Jul 11","Mwiriwe neza,
Mwaduha nimero ya telefoni yanyu tukabafasha kubikurikirana. Murakoze","","10","","https://x.com/reg_rwanda/status/1943754517226659936/analytics",""
"https://x.com/UnitedVava","https://pbs.twimg.com/profile_images/1940014944440778752/LDiGyI2w_bigger.jpg","https://x.com/UnitedVava","Valens VaVa United","@UnitedVava","·","https://x.com/UnitedVava/status/1943746545335021586","Jul 11","","","huye -rwaniro -nyamabuye umudugudu wose  twabuze umuriro Kandi cash power zirimo kwaka","1","https://x.com/UnitedVava/status/1943746545335021586/analytics","9"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943747208983019952","Jul 11","Mwiriwe neza, 
Mwavugisha abatekenisiye bacu kuri nimero 0788330056 baze kubikemura. Murakoze","","9","","https://x.com/reg_rwanda/status/1943747208983019952/analytics",""
"https://x.com/U_Venuste","https://pbs.twimg.com/profile_images/1770387909138374656/Xxtzdi8y_bigger.jpg","https://x.com/U_Venuste","Venuste Official","@U_Venuste","·","https://x.com/U_Venuste/status/1943735701113385361","Jul 11","","","Umugoroba muhire, ese Huye-Rusatira sector- especially Kiruhura byagenze bite ko umuriro ingo nyinshi tuwubuze muruyu mugoroba? 
Technical team badufasha kumennya ikibaye gituma umuriro ubura","1","https://x.com/U_Venuste/status/1943735701113385361/analytics","10"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943737432916087163","Jul 11","Mwiriwe neza, 
Reka tubikurikirane. Murakoze","","12","","https://x.com/reg_rwanda/status/1943737432916087163/analytics",""
"https://x.com/vickoMurengezi","https://pbs.twimg.com/profile_images/1821509701214846976/ZeiWlGzp_bigger.jpg","https://x.com/vickoMurengezi","Vicko Murengezi","@vickoMurengezi","·","https://x.com/vickoMurengezi/status/1943726076473004227","Jul 11","","","Kicukiro Gikondo kuri SFB university","1","https://x.com/vickoMurengezi/status/1943726076473004227/analytics","19"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943730475295490059","Jul 11","Mwavugisha abatekenisiye bacu kuri nimero 0788330014 baze kubikemura. Murakoze","","14","","https://x.com/reg_rwanda/status/1943730475295490059/analytics",""
"https://x.com/HosianaLouise","https://pbs.twimg.com/profile_images/1490958820008505346/0_gw58eE_bigger.jpg","https://x.com/HosianaLouise","Hosiana Louise","@HosianaLouise","·","https://x.com/HosianaLouise/status/1943724971861164071","Jul 11","@reg_rwanda","https://x.com/reg_rwanda","Dear","1","https://x.com/HosianaLouise/status/1943724971861164071/analytics","11"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943727887204458835","Jul 11","Mwiriwe neza,
Mwaturangira kuri nimero 0788330016 tukaza kubikemura.  Murakoze","","12","","https://x.com/reg_rwanda/status/1943727887204458835/analytics",""
"https://x.com/vickoMurengezi","https://pbs.twimg.com/profile_images/1821509701214846976/ZeiWlGzp_bigger.jpg","https://x.com/vickoMurengezi","Vicko Murengezi","@vickoMurengezi","·","https://x.com/vickoMurengezi/status/1943723456039682192","Jul 11","","","None ko abaturanyi bacu bo wagarutse aha kw’ Isano twe ukaba utaragaruka","1","https://x.com/vickoMurengezi/status/1943723456039682192/analytics","20"
"https://x.com/reg_rwanda","https://pbs.twimg.com/profile_images/874619719227236353/emC3g09S_bigger.jpg","https://x.com/reg_rwanda","Rwanda Energy Group","@reg_rwanda","·","https://x.com/reg_rwanda/status/1943724175178236282","Jul 11","Mwiriwe neza,
Aho nimukahe karere? Murakoze","","15","1","https://x.com/reg_rwanda/status/1943724175178236282/analytics",""
"https://x.com/MuhawenimanaPho","https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png","https://x.com/MuhawenimanaPho","Muhawenimana Phocas","@MuhawenimanaPho","·","https://x.com/MuhawenimanaPho/status/1943720431690612859","Jul 11","@reg_rwanda","https://x.com/reg_rwanda","mwiriwe neza? Mu murenge wa Shyara, akarere ka Bugesera twiriwe twabuze umuriro kugeza ubu, mwadufasha kuko turi mu mwijima ukabije.","1","https://x.com/MuhawenimanaPho/status/1943720431690612859/analytics","15"
